quarter,year,quarter_num,lon,lat,spatial_block_id,ndvi,ndbi,albedo,mndwi,dem,slope,sky_view_factor,building_height,building_fraction,roughness_length,temp_2m,dewpoint_2m,wind_speed_10m,solar_radiation,vapor_pressure_deficit,dist_to_coast,dist_to_water,dist_to_greenspace,lst_celsius
2023_Q1,2023,1,72.71957,18.96325,block_1_1,0.2753,-0.0784,0.1826,0.4254,11.8,2.46,0.912,3.19,12.25,0.05,33.36,28.18,4.2,786.2,1.953,0.0,0.0,25.57,38.27
2023_Q1,2023,1,72.64504,19.31694,block_0_3,0.2585,0.0004,0.1557,0.3744,6.3,1.5,0.807,9.06,26.16,0.132,33.23,30.92,4.08,719.1,1.979,0.0,0.0,16.38,38.94
2023_Q1,2023,1,72.67983,19.02213,block_0_1,0.3754,-0.2137,0.1754,0.4997,11.8,1.8,0.94,4.05,7.62,0.05,33.55,29.96,3.56,800.0,2.316,0.0,0.0,25.36,38.46
2023_Q1,2023,1,73.00654,19.08788,block_3_1,0.1441,-0.0345,0.1486,-0.4854,16.5,3.77,0.845,7.12,21.18,0.05,33.11,27.93,1.96,766.2,1.868,23.014,9.23,10.91,42.93
2023_Q1,2023,1,72.87195,19.08333,block_2_1,0.1114,0.1067,0.1878,-0.4426,27.6,4.2,0.8,9.94,26.94,0.111,34.43,28.85,3.7,793.7,2.326,8.867,6.46,7.45,43.65
2023_Q1,2023,1,72.71663,19.347,block_1_3,0.2175,-0.104,0.1577,0.589,12.1,2.78,0.867,3.64,19.04,0.05,33.13,28.43,3.56,754.2,2.043,0.0,0.0,10.19,39.22
2023_Q1,2023,1,72.89219,19.16765,block_2_2,0.6825,-0.2194,0.197,-0.4788,187.3,18.25,0.933,9.4,6.75,0.077,32.17,29.31,3.79,831.7,2.111,11.258,2.37,2.34,35.49
2023_Q1,2023,1,72.712,19.09224,block_1_1,0.1045,-0.0222,0.1759,0.5063,13.5,2.06,0.822,10.22,23.45,0.083,33.29,28.08,2.38,805.9,1.97,0.0,0.0,18.77,41.53
2023_Q1,2023,1,72.99309,19.44437,block_3_4,0.233,-0.133,0.1686,-0.4254,15.6,3.19,0.971,3.0,3.3,0.07,31.57,27.87,1.99,811.8,1.99,22.724,21.17,25.84,40.04
2023_Q1,2023,1,72.86383,19.24322,block_2_2,0.2475,-0.0059,0.1721,-0.3499,164.8,13.73,0.823,7.04,24.46,0.072,34.18,29.59,3.02,801.7,2.214,8.518,4.89,5.49,41.06
2023_Q1,2023,1,72.83017,18.98655,block_2_1,0.2519,0.0029,0.1547,-0.4095,9.6,7.12,0.764,12.03,31.74,0.135,32.26,27.43,3.45,773.8,1.997,4.176,4.18,13.71,40.53
2023_Q1,2023,1,72.78909,19.4784,block_1_4,0.0802,-0.0153,0.152,-0.4584,14.3,3.88,0.824,5.76,24.82,0.058,35.36,32.98,2.92,798.4,2.333,1.412,1.41,19.83,43.55
2023_Q1,2023,1,72.95897,19.07888,block_3_1,0.2831,-0.0343,0.1891,-0.452,27.0,2.8,0.887,7.32,14.62,0.096,33.55,29.71,2.73,709.4,2.092,17.99,7.51,8.76,40.59
2023_Q1,2023,1,72.82025,18.86124,block_1_0,0.2213,-0.0824,0.1917,-0.4665,8.4,1.51,0.898,5.62,13.5,0.056,34.49,28.94,3.25,765.0,2.159,2.739,2.74,21.27,40.24
2023_Q1,2023,1,72.67859,19.18778,block_0_2,0.1768,-0.0571,0.1994,0.4758,12.4,2.78,0.795,8.89,28.19,0.125,34.32,30.57,3.35,758.2,2.177,0.0,0.0,17.82,41.06
2023_Q1,2023,1,72.69427,18.92213,block_0_0,0.2791,-0.1327,0.1977,0.4493,12.0,7.34,0.911,6.08,11.29,0.05,33.88,31.1,3.96,736.2,2.091,0.0,0.0,29.21,37.87
2023_Q1,2023,1,73.13031,19.00421,block_4_1,0.1103,-0.1215,0.1869,-0.3505,11.2,2.35,0.93,3.96,9.25,0.063,31.31,28.26,1.81,805.6,1.726,35.746,14.81,17.89,40.3
2023_Q1,2023,1,73.10276,19.36875,block_4_3,0.1027,-0.0401,0.1871,-0.3464,12.7,1.41,0.894,6.01,14.07,0.05,34.53,31.62,1.21,801.4,2.326,34.002,21.4,26.12,44.37
2023_Q1,2023,1,72.99484,18.92701,block_3_0,0.1218,-0.0508,0.1564,-0.4454,8.4,1.92,0.86,8.11,18.49,0.083,34.65,32.48,1.78,791.0,2.029,21.278,7.61,8.89,45.1
2023_Q1,2023,1,72.77068,19.41164,block_1_3,0.1543,-0.0516,0.1677,0.413,9.2,2.9,0.847,8.4,20.25,0.099,33.38,30.31,3.03,723.9,2.085,0.0,0.0,12.77,40.18
2023_Q1,2023,1,73.13407,19.50478,block_4_4,0.1467,0.0242,0.1799,-0.5489,12.5,2.37,0.862,5.3,19.17,0.078,34.17,30.89,2.16,774.4,1.994,37.718,32.03,39.41,43.57
2023_Q1,2023,1,73.03568,19.268,block_3_2,0.2414,-0.0203,0.1604,-0.4862,19.4,1.87,0.826,10.08,22.84,0.11,32.91,29.13,1.78,749.1,2.148,26.641,11.88,14.23,42.51
2023_Q1,2023,1,73.00372,19.34241,block_3_3,0.1641,-0.0647,0.1811,-0.3214,21.5,2.88,0.813,10.4,24.73,0.09,32.18,27.6,2.31,697.6,1.963,23.519,13.92,16.78,40.28
2023_Q1,2023,1,72.86549,19.34473,block_2_3,0.1521,-0.0142,0.1551,-0.5498,46.5,5.63,0.818,7.63,25.05,0.054,32.31,28.37,2.55,762.0,1.821,9.012,7.28,8.48,40.79
2023_Q1,2023,1,72.77397,19.54485,block_1_4,0.1989,-0.1628,0.1676,0.5255,13.3,3.99,0.946,3.0,7.19,0.059,34.39,29.6,3.73,802.4,2.05,0.033,0.03,27.31,40.22
2023_Q1,2023,1,72.68311,19.07808,block_0_1,0.2227,-0.0796,0.1564,0.5035,11.5,4.42,0.886,5.47,15.39,0.054,33.62,29.91,2.81,748.7,1.778,0.0,0.0,22.16,39.83
2023_Q1,2023,1,73.09967,18.95002,block_4_1,0.218,-0.0592,0.2062,-0.3501,8.4,2.48,0.911,4.23,12.04,0.062,33.85,29.05,2.46,774.5,2.212,32.358,13.04,15.68,41.63
2023_Q1,2023,1,72.8688,19.20539,block_2_2,0.2035,-0.0435,0.2027,-0.3149,180.0,16.26,0.885,3.41,16.34,0.05,30.74,26.12,3.29,826.9,1.697,8.921,4.2,4.62,37.3
2023_Q1,2023,1,72.73786,19.21548,block_1_2,0.1741,-0.1457,0.1695,0.5408,12.7,2.07,0.886,7.56,14.68,0.066,32.4,29.22,3.58,797.2,2.238,0.0,0.0,11.43,37.99
2023_Q1,2023,1,72.79139,18.96081,block_1_1,0.1476,0.0113,0.1679,0.4586,10.3,1.37,0.838,6.48,22.41,0.083,33.9,30.27,3.55,773.4,2.025,0.022,0.02,18.23,40.97
2023_Q1,2023,1,72.93258,19.27272,block_2_2,0.272,-0.073,0.1434,-0.4559,278.8,29.03,0.86,6.73,18.92,0.069,31.96,28.34,3.21,755.8,1.875,15.83,5.55,6.31,39.14
2023_Q1,2023,1,72.72464,18.84342,block_1_0,0.1901,-0.0834,0.2209,0.4942,14.3,1.25,0.876,6.8,16.4,0.081,31.38,27.0,4.0,794.1,1.272,0.0,0.0,30.21,37.29
2023_Q1,2023,1,73.07591,19.49816,block_3_4,0.2898,-0.2662,0.1287,-0.3315,17.8,8.18,0.946,3.0,7.23,0.053,33.82,30.29,1.92,714.9,2.229,31.59,28.86,35.45,41.74
2023_Q1,2023,1,73.02523,19.02292,block_3_1,0.0591,0.0353,0.1776,-0.5069,15.5,2.1,0.869,7.77,17.19,0.093,34.12,29.68,2.31,711.8,2.1,24.771,6.35,7.31,43.28
2023_Q1,2023,1,73.00505,18.86165,block_3_0,0.2111,-0.1009,0.1683,-0.397,12.5,4.36,0.874,7.85,16.37,0.075,32.64,29.06,2.22,793.5,2.036,22.144,13.36,16.07,41.42
2023_Q1,2023,1,72.85656,18.91088,block_2_0,0.0702,0.0523,0.1528,-0.3524,11.0,6.35,0.79,12.39,27.58,0.116,32.38,27.58,2.24,833.6,2.216,6.708,6.71,14.69,42.92
2023_Q1,2023,1,72.95743,19.00549,block_3_1,0.6129,-0.2559,0.2177,-0.4435,9.8,1.01,0.918,5.52,10.49,0.05,32.7,27.22,2.55,820.1,2.126,17.597,1.04,0.67,38.66
2023_Q1,2023,1,72.9351,19.02961,block_2_1,0.2431,-0.051,0.1856,-0.604,11.2,1.48,0.859,5.82,19.51,0.066,36.51,31.3,2.65,779.7,2.272,15.329,3.86,4.2,45.49
2023_Q1,2023,1,72.96908,18.85681,block_3_0,0.2439,-0.1006,0.1654,-0.5084,13.4,4.15,0.771,11.23,30.85,0.101,34.79,29.72,1.56,781.1,2.409,18.352,13.24,15.92,44.43
2023_Q1,2023,1,72.67693,19.03351,block_0_1,0.2228,-0.0582,0.1898,0.5189,11.0,2.09,0.926,5.64,9.22,0.068,34.21,30.63,3.82,716.3,1.932,0.0,0.0,24.94,38.72
2023_Q1,2023,1,72.84815,18.97158,block_2_1,0.1964,0.0155,0.1671,-0.5091,11.6,1.04,0.786,9.31,29.4,0.089,33.81,27.08,4.35,799.8,2.035,6.016,6.02,12.16,42.74
2023_Q1,2023,1,72.6548,19.10466,block_0_1,0.1672,0.0149,0.1902,0.4716,11.0,1.37,0.829,8.5,23.09,0.084,34.76,32.79,3.54,784.1,2.226,0.0,0.0,24.18,42.21
